@id,@type,notation,prefLabel,definition,inScheme,topConceptOf,broader,note,remarks,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/00,http://www.w3.org/2004/02/skos/core#Concept,00,Wettig kind,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/01,http://www.w3.org/2004/02/skos/core#Concept,01,Gewettigd kind,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/02,http://www.w3.org/2004/02/skos/core#Concept,02,Niet erkend natuurlijk kind,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/03,http://www.w3.org/2004/02/skos/core#Concept,03,Erkend natuurlijk kind,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/04,http://www.w3.org/2004/02/skos/core#Concept,04,Geadopteerd kind,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/05,http://www.w3.org/2004/02/skos/core#Concept,05,Gewettigd kind ingevolgde adoptie,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/06,http://www.w3.org/2004/02/skos/core#Concept,06,Vondeling,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/07,http://www.w3.org/2004/02/skos/core#Concept,07,Natuurlijk kind ingevolge ontkenning,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/08,http://www.w3.org/2004/02/skos/core#Concept,08,Onbekende afstamming,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
https://data.vlaanderen.be/id/concept/IT114/Afstammingstype/09,http://www.w3.org/2004/02/skos/core#Concept,09,Onbepaalde afstamming,,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,https://data.vlaanderen.be/id/conceptscheme/IT114/Afstammingstype,,Wijzen van afstamming gelegen vóór 6 juni 1987.,,
